Name,HIP,Bayer ID
Alpheratz,677,α And
Caph,746,β Cas
Algenib,1067,γ Peg
Citadelle,1547,
Ankaa,2081,α  Phe
Felixvarela,2247,
Fulu,2920,ζ Cas
Schedar,3179,α Cas
Diphda,3419,β Cet
Cocibolca,3479,
Achird,3821,η Cas
Castula,4422,υ2 Cas
Nenque,5054,
Wurren,5348,ζ Phe
Mirach,5447,β And
Emiw,5529,
Revati,5737,ζ Psc
Bharani,6193,41  Ari
Adhil,6411,ξ And
Bélénos,6643,
Ruchbah,6686,δ Cas
Alpherg,7097,η Psc
Titawin,7513,υ And
Achernar,7588,α Eri
Nembus,7607,51 And
Torcular,8198,ο Psc
Baten Kaitos,8645,ζ Cet
Mothallah,8796,α Tri
Mesarthim,8832,γ1 Ari
Segin,8886,ε Cas
Sheratan,8903,β Ari
Alrescha,9487,α Psc
Almach,9640,γ And
Hamal,9884,α Ari
Mira,10826,ο Cet
Polaris,11767,α UMi
Buna,12191,
Kaffaljidhma,12706,γ Cet
Koeia,12961,
Lilii Borea,13061,39 Ari
Nushagak,13192,
Miram,13268,η Per
Angetenar,13288,τ2 Eri
Azha,13701,η Eri
Acamar,13847,θ1 Eri
Ayeyarwady,13993,
Menkar,14135,α Cet
Algol,14576,β Per
Misam,14668,κ Per
Botein,14838,δ Ari
Dalim,14879,α For
Zibal,15197,ζ Eri
Intan,15578,
Mirfak,15863,α Per
Ran,16537,ε Eri
Tupi,17096,
Rana,17378,δ Eri
Atik,17448,ο Per
Celaeno,17489,16 Tau
Electra,17499,17 Tau
Taygeta,17531,19 Tau
Maia,17573,20 Tau
Asterope,17579,21 Tau
Merope,17608,23 Tau
Alcyone,17702,η Tau
Atlas,17847,27 Tau
Pleione,17851,28 Tau
Zaurak,18543,γ Eri
Menkib,18614,ξ Per
Beid,19587,ο1 Eri
Rhombus,19780,α Ret
Keid,19849,ο2 Eri
Prima Hyadum,20205,γ Tau
Secunda Hyadum,20455,δ1 Tau
Beemim,20535,υ3 Eri
Ain,20889,ε Tau
Chamukuy,20894,θ2 Tau
Hoggar,21109,
Theemin,21393,υ2 Eri
Aldebaran,21421,α Tau
Sceptrum,21594,53 Eri
Tabit,22449,π3 Ori
Mouhoun,22491,
Hassaleh,23015,ι Aur
Almaaz,23416,ε Aur
Saclateni,23453,ζ Aur
Haedus,23767,η Aur
Cursa,23875,β Eri
Mago,24003,
Rigel,24436,β Ori
Capella,24608,α Aur
Bellatrix,25336,γ Ori
Elnath,25428,β Tau
Nihal,25606,β Lep
Mintaka,25930,δ Ori
Arneb,25985,α Lep
Meissa,26207,λ Ori
Hatysa,26241,ι Ori
Alnilam,26311,ε Ori
Bubup,26380,
Tianguan,26451,ζ Tau
Phact,26634,α Col
Alnitak,26727,ζ Ori
Saiph,27366,κ Ori
Wazn,27628,β Col
Betelgeuse,27989,α Ori
Menkalinan,28360,β Aur
Mahasim,28380,θ Aur
Elkurud,29034,θ Col
Amadioha,29550,_ CMa
Propus,29655,η Gem
Furud,30122,ζ CMa
Mirzam,30324,β Cma
Tejat,30343,μ Gem
Canopus,30438,α Car
Lucilinburhuc,30860,
Lusitânia,30905,
Alhena,31681,γ Gem
Pipit,31685,ν Pup
Nosaxa,31895,
Mebsuta,32246,ε Gem
Sirius,32349,α CMa
Alzirr,32362,ξ Gem
Nervia,32916,
Adhara,33579,ε CMa
Citalá,33719,
Nganurganity,33856,σ CMa
Unurgunite,33856,σ CMa
Muliphein,34045,γ CMa
Mekbuda,34088,ζ Gem
Wezen,34444,δ CMa
Wasat,35550,δ Gem
Aludra,35904,η CMa
Gomeisa,36188,β CMi
Castor,36850,α Gem
Jishui,37265,ο Gem
Procyon,37279,α CMi
Ceibo,37284,
Pollux,37826,β Gem
Tapecue,38041,
Azmidi,38170,ξ Pup
Naos,39429,ζ Pup
Tureis,39757,ρ Pup
Tegmine,40167,ζ Cnc
Tarf,40526,β Cnc
Násti,40687,
Piautos,40881,λ Cnc
Avior,41037,ε Car
Alsciaukat,41075,31 Lyn
Muscida,41704,ο UMa
Minchir,42402,σ Hya
Gakyid,42446,
Meleph,42556,ε Cnc
Asellus Borealis,42806,γ Cnc
Asellus Australis,42911,δ Cnc
Alsephina,42913,δ Vel
Ashlesha,43109,ε Hya
Copernicus,43587,55 Cnc
Stribor,43674,
Acubens,44066,α Cnc
Talitha,44127,ι UMa
Alkaphrah,44471,κ UMa
Suhail,44816,λ Vel
Nahn,44946,ξ Cnc
Miaplacidus,45238,β Car
Aspidiske,45556,ι Car
Markeb,45941,κ Vel
Alphard,46390,α Hya
Intercrus,46471,
Alterf,46750,λ Leo
Illyrian,47087,
Kalausi,47202,
Ukdah,47431,ι Hya
Subra,47508,ο Leo
Natasha,48235,
Zhang,48356,υ1 Hya
Rasalas,48455,μ Leo
